1.068725183766692011e+00,9.264086185976843080e-01,2.999999999999999889e-01
1.041535245875531146e+00,7.773544602709643314e-01,3.233565695247577199e-01
1.015674588168292036e+00,6.358037130507878665e-01,3.457569856801442354e-01
9.911693241368938478e-01,5.020759233305206459e-01,3.671444731736990263e-01
9.679894657607726050e-01,3.761813759975345395e-01,3.875009731822501857e-01
9.460814634127139300e-01,2.580004683129536458e-01,4.068246884168754129e-01
9.253606780130848586e-01,1.472422087308152827e-01,4.251352795447536637e-01
9.057000904217532566e-01,4.338197772208320091e-02,4.424816568167380670e-01
8.870543816966897088e-01,-5.365445988879494199e-02,4.588563444475245445e-01
8.693417330598319781e-01,-1.441425491830964078e-01,4.742770570013072895e-01
8.524867745828228482e-01,-2.283221852951260455e-01,4.887570584200894852e-01
8.364137332817235260e-01,-3.064354852282702990e-01,5.023098908064304036e-01
8.210468361648147750e-01,-3.787245659939080245e-01,5.149490962551477313e-01
8.063103104106763563e-01,-4.454315444328832974e-01,5.266882170314228784e-01
7.921283822308431422e-01,-5.067985383533667454e-01,5.375407944331425103e-01
7.784252795167846406e-01,-5.630676638833975733e-01,5.475203714383234388e-01
7.651252309135762042e-01,-6.144810363974595457e-01,5.566404917707971078e-01
7.521524640476230372e-01,-6.612807722887082962e-01,5.649146981666958167e-01
7.394312035939633043e-01,-7.037089909016651657e-01,5.723565303643264324e-01
7.268856681106781181e-01,-7.420078176978150974e-01,5.789795220160152134e-01
7.144400930717846876e-01,-7.764193612226968355e-01,5.847972236822736036e-01
7.020187078343423925e-01,-8.071857361388135033e-01,5.898231798066611020e-01
6.895457388040443503e-01,-8.345490600600330433e-01,5.940709318813687245e-01
6.769454113679141960e-01,-8.587514516188924363e-01,5.975540203799188932e-01
6.641419516665433287e-01,-8.800350286943615652e-01,6.002859865294016828e-01
6.510595875205968941e-01,-8.986419074853362332e-01,6.022803732369804708e-01
6.376225457835204002e-01,-9.148142051579317702e-01,6.035507224425989969e-01
6.237550534791056478e-01,-9.287940387079172133e-01,6.041105762565478488e-01
6.093813376234019641e-01,-9.408235251388056275e-01,6.039734767813742522e-01
5.944256254492620295e-01,-9.511447813844191579e-01,6.031529662202853581e-01
5.788121729239140700e-01,-9.599999148004597638e-01,6.016625997770295164e-01
